crop,type,temp_ideal_lo,temp_ideal_hi,shade_need,rh_pref,rainfall_mm,india_demand,pattukkottai_verdict,engineering_lever,key_diseases,disease_microclimate_driver,variety_susceptibility_note
Guava,fruit,23,28,full_sun,moderate,1000,high_steady,Direct,"drainage; airflow vs anthracnose","wilt; anthracnose","wilt=waterlogging; anthracnose=humidity+leaf_wetness","Allahabad Safeda susceptible; Lalit/Arka Mridula differ"
Sapota,fruit,20,34,full_sun,70,1250,steady,Direct,"hardy; minimal","leaf spot (minor)","humid spells","cultivar differences minor"
Custard apple,fruit,20,35,full_sun,low,800,steady_rising,Direct,"dryland; APK(Ca)1","few","minor","APK(Ca)1 TN release"
Mango,fruit,24,30,full_sun,low_at_flowering,1000,very_high,Direct,"dry air at flowering","anthracnose; powdery mildew","humidity+dew at flowering","strong cultivar variation"
Moringa,veg_fruit,25,35,full_sun,tolerant,800,high,Direct,"PKM-1 resistant","few (pests)","minor","PKM-1 disease-resistant"
Amla,fruit,25,40,full_sun,tolerant,800,steady,Direct,"hardy","rust","humidity","hardy; minor differences"
Acid lime,fruit,20,35,full_sun,moderate,1000,high_steady,Direct,"windbreak cuts canker","citrus canker","warm+humid; wind-driven rain spread","limited resistance"
Banana,fruit,25,35,full_sun,high,high_water,very_high,Direct,"spacing/airflow; water","Sigatoka; Panama wilt","Sigatoka=humidity+leaf_wetness; worse in close still planting","resistant clones exist"
Papaya,fruit,22,32,full_sun,moderate,1000,high,Direct,"vector control","ringspot virus; anthracnose","virus=aphid vector; anthracnose=humidity","some tolerant lines (Red Lady)"
Fig,fruit,15,38,full_sun,low,600,niche_premium,Direct,"dryland fit","rust","humidity","hardy"
Dragon fruit,fruit,20,35,light_shade_summer,moderate,550,high_premium,Engineerable,"shade-net/canopy vs >38C sunburn; drainage","stem rot; anthracnose; sunburn(abiotic)","excess moisture; sunburn >38C","few issues; red-flesh premium"
Pomegranate,fruit,25,35,full_sun,low,dryland,high_premium,Engineerable,"bahar timing to dry season; airflow; Ganesh/Bhagwa","bacterial blight (Xap); wilt","RH+rainfall+leaf_wetness; opt 29+-3C; suppressed >34C; rain-splash","none resistant; Ganesh wet-tolerant; Bhagwa less fruit-spot"
Grapes,fruit,15,35,full_sun_trained,low_at_ripening,dry,high_premium,Engineerable,"canopy airflow + timing vs mildew (hard)","downy mildew; powdery mildew","downy=leaf_wetness+rain; powdery=moderate temp humid","wide varietal differences; table grapes susceptible"
Ginger,spice,20,30,partial_25_50,70-90,1500,high_steady,Engineerable,"partial shade + monsoon timing; drainage","rhizome rot","waterlogging+humidity","tolerant lines exist"
Black pepper,spice,23,32,partial_20_50,70-90,2500,high_steady,Engineerable,"under coconut/silver oak + irrigation","foot rot (Phytophthora)","waterlogging+humidity+leaf_wetness","Panniyur lines more tolerant"
Cocoa,spice,21,32,partial_25_50,70-90,1650,rising,Heavy,"coconut canopy + irrigation + humidity","pod rot (Phytophthora)","high humidity+leaf_wetness","some tolerant clones"
Nutmeg,spice,25,35,partial_40_50,70-90,2000,premium,Heavy,"dense canopy + irrigation; slow","stem/leaf disease","high humidity","clone differences"
Vanilla,spice,20,30,shade_50_60,70-90,2250,premium_volatile,Heavy,"shade + constant humidity + support","stem/root rot","humidity+waterlogging","limited"
Avocado,fruit,20,30,full_sun,moderate,well_distributed,premium_350_450_per_kg,Avoid_plains,"needs Nilgiris/Kodai altitude - plains too hot","Phytophthora root rot","poor drainage; heat stress in plains","rootstock tolerance varies; climate is limiter"
